student_id,academic_year,major,facility_rated,satisfaction_score,timestamp
1,4th,ME,Library,4,2023-07-19
2,1st,CSE,Sports,1,2023-11-08
3,2nd,ME,Library,5,2023-11-25
4,2nd,IT,Cafeteria,5,2023-11-07
5,2nd,ECE,Cafeteria,1,2023-07-17
6,4th,ME,Cafeteria,2,2023-08-17
7,1st,ME,Sports,3,2023-03-26
8,3rd,IT,Library,1,2023-07-27
9,3rd,CE,Sports,3,2023-05-10
10,3rd,ME,Sports,3,2023-05-01
11,2nd,ME,Sports,1,2023-02-09
12,2nd,CE,Sports,4,2023-10-23
13,1st,IT,Cafeteria,2,2023-10-18
14,3rd,IT,Sports,1,2023-07-23
15,3rd,CE,Cafeteria,3,2023-07-01
16,2nd,ME,Sports,3,2023-10-01
17,4th,CE,Cafeteria,1,2023-07-20
18,1st,ME,Library,5,2023-05-11
19,2nd,CE,Library,3,2023-03-28
20,4th,ME,Cafeteria,2,2023-09-29
21,4th,ME,Cafeteria,4,2023-10-29
22,1st,IT,Sports,1,2023-04-03
23,2nd,CE,Cafeteria,3,2023-04-16
24,4th,ECE,Cafeteria,1,2023-07-16
25,4th,CSE,Cafeteria,4,2023-07-20
26,1st,ME,Cafeteria,3,2023-07-24
27,3rd,ME,Sports,1,2023-04-24
28,2nd,ME,Cafeteria,3,2023-10-13
29,4th,CSE,Sports,4,2023-01-17
30,4th,CSE,Library,1,2023-01-23
31,2nd,CSE,Cafeteria,1,2023-01-16
32,3rd,CSE,Cafeteria,4,2023-01-30
33,2nd,ME,Sports,3,2023-12-31
34,2nd,IT,Cafeteria,3,2023-11-25
35,1st,ME,Library,4,2023-02-04
36,3rd,ECE,Library,5,2023-07-21
37,2nd,ECE,Sports,1,2023-05-08
38,2nd,IT,Cafeteria,2,2023-05-29
39,4th,IT,Cafeteria,5,2023-05-15
40,4th,CE,Sports,2,2023-12-18
41,1st,IT,Sports,1,2023-04-03
42,3rd,ME,Cafeteria,5,2023-03-06
43,4th,ECE,Cafeteria,1,2023-03-15
44,1st,ECE,Sports,1,2023-02-24
45,3rd,CSE,Cafeteria,4,2023-12-17
46,4th,ECE,Cafeteria,5,2023-06-07
47,4th,CE,Library,5,2023-03-11
48,1st,ECE,Library,5,2023-09-15
49,1st,IT,Cafeteria,3,2023-04-11
50,2nd,CSE,Library,1,2023-06-25
51,3rd,ME,Sports,4,2023-03-27
52,3rd,IT,Cafeteria,4,2023-04-17
53,3rd,IT,Sports,5,2023-01-18
54,3rd,CE,Cafeteria,3,2023-11-02
55,4th,CSE,Library,2,2023-08-02
56,4th,ME,Sports,4,2023-01-15
57,4th,CSE,Sports,1,2023-01-09
58,2nd,ECE,Cafeteria,5,2023-04-25
59,2nd,ME,Sports,4,2023-02-23
